"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,196,"VCT","Saint Vincent and the Grenadines",1,"Charlotte","VC.CH",NA,"","Parish","Parish","",""
2,196,"VCT","Saint Vincent and the Grenadines",2,"Grenadines","VC.GT",NA,"","Parish","Parish","",""
3,196,"VCT","Saint Vincent and the Grenadines",3,"Saint Andrew","VC.AN",NA,"","Parish","Parish","",""
4,196,"VCT","Saint Vincent and the Grenadines",4,"Saint David","VC.DA",NA,"","Parish","Parish","",""
5,196,"VCT","Saint Vincent and the Grenadines",5,"Saint George","VC.GE",NA,"","Parish","Parish","",""
6,196,"VCT","Saint Vincent and the Grenadines",6,"Saint Patrick","VC.PA",NA,"","Parish","Parish","",""
