"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,243,"UMI","United States Minor Outlying Islands",1,"Baker","",NA,"","Island","Island","",""
2,243,"UMI","United States Minor Outlying Islands",2,"Howland","",NA,"","Island","Island","",""
3,243,"UMI","United States Minor Outlying Islands",3,"Jarvis island","",NA,"","","Island","",""
4,243,"UMI","United States Minor Outlying Islands",4,"Johnston","",NA,"","Atoll","Atoll","",""
5,243,"UMI","United States Minor Outlying Islands",5,"Kingman Reef","",NA,"","Reef","Reef","",""
6,243,"UMI","United States Minor Outlying Islands",6,"Midway","",NA,"","Island|Atoll","Island|Atoll","",""
7,243,"UMI","United States Minor Outlying Islands",7,"Navassa","",NA,"","Island","Island","",""
8,243,"UMI","United States Minor Outlying Islands",8,"Palmyra","",NA,"","Atoll","Atoll","",""
9,243,"UMI","United States Minor Outlying Islands",9,"Wake","",NA,"","Island|Atoll","Island|Atoll","",""
